"studyName","PROLIFIC_PID","STUDY_ID","SESSION_ID","block","set","stimulus-0","stimulus-1","stimulus-2","stimulus-3","stimulus-4","stimulus-5","response-0","response-1","response-2","response-3","response-4","response-5","responseTime-0","responseTime-1","responseTime-2","responseTime-3","responseTime-4","responseTime-5"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","0","0","bin","dog","egg","sip","toe","sun","","","","","","","2019/02/27 09:43:45.0027","2019/02/27 09:43:45.0106","2019/02/27 09:43:45.0189","2019/02/27 09:43:45.0274","2019/02/27 09:43:45.0358","2019/02/27 09:43:45.0442"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","0","1","gas","art","can","hat","jam","lad","","","","","","","2019/02/27 09:43:46.0334","2019/02/27 09:43:46.0416","2019/02/27 09:43:46.0500","2019/02/27 09:43:46.0584","2019/02/27 09:43:46.0667","2019/02/27 09:43:46.0750"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","1","0","crumb","bark","moth","brake","peel","rhyme","","","","","","","2019/02/27 09:43:53.0400","2019/02/27 09:43:53.0484","2019/02/27 09:43:53.0567","2019/02/27 09:43:53.0650","2019/02/27 09:43:53.0734","2019/02/27 09:43:53.0819"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","1","1","hose","spark","ditch","skate","jeep","dial","","","","","","","2019/02/27 09:43:53.0989","2019/02/27 09:43:54.0069","2019/02/27 09:43:54.0153","2019/02/27 09:43:54.0236","2019/02/27 09:43:54.0319","2019/02/27 09:43:54.0404"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","1","2","fork","pest","bean","knob","bolt","snort","","","","","","","2019/02/27 09:43:54.0575","2019/02/27 09:43:54.0654","2019/02/27 09:43:54.0737","2019/02/27 09:43:54.0823","2019/02/27 09:43:54.0907","2019/02/27 09:43:54.0991"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","1","3","blush","spray","dock","mash","scar","rack","","","","","","","2019/02/27 09:43:55.0163","2019/02/27 09:43:55.0240","2019/02/27 09:43:55.0325","2019/02/27 09:43:55.0409","2019/02/27 09:43:55.0492","2019/02/27 09:43:55.0575"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","1","4","stain","rake","limp","spike","stump","flock","","","","","","","2019/02/27 09:43:55.0747","2019/02/27 09:43:55.0826","2019/02/27 09:43:55.0911","2019/02/27 09:43:55.0995","2019/02/27 09:43:56.0079","2019/02/27 09:43:56.0164"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","1","5","stork","rust","sleeve","hoof","groan","frown","","","","","","","2019/02/27 09:43:56.0338","2019/02/27 09:43:56.0415","2019/02/27 09:43:56.0500","2019/02/27 09:43:56.0584","2019/02/27 09:43:56.0667","2019/02/27 09:43:56.0750"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","1","6","peck","cart","roar","squeek","sleigh","hush","","","","","","","2019/02/27 09:43:56.0921","2019/02/27 09:43:57.0001","2019/02/27 09:43:57.0085","2019/02/27 09:43:57.0168","2019/02/27 09:43:57.0252","2019/02/27 09:43:57.0336"
"20190226-steven-medlowfreq1a","GUID001","GUID002","GUID003","1","7","broom","heel","leak","brat","pill","fudge","","","","","","","2019/02/27 09:43:58.0237","2019/02/27 09:43:58.0321","2019/02/27 09:43:58.0405","2019/02/27 09:43:58.0490","2019/02/27 09:43:58.0574","2019/02/27 09:43:58.0658"
